ImageId,Label
0,8
1,0
2,5
3,2
4,9
5,2
6,7
7,4
8,4
9,4
10,4
11,6
12,8
13,7
14,8
15,6
16,7
17,0
18,2
19,9
20,5
21,0
22,5
23,5
24,6
25,2
26,4
27,1
28,5
29,2
30,3
31,0
32,5
33,9
34,3
35,9
36,5
37,5
38,2
39,7
40,5
41,8
42,3
43,5
44,0
45,8
46,3
47,9
48,7
49,0
50,8
51,7
52,4
53,4
54,2
55,4
56,4
57,5
58,3
59,5
60,5
61,4
62,3
63,7
64,0
65,7
66,0
67,3
68,7
69,0
70,3
71,5
72,2
73,6
74,3
75,9
76,5
77,2
78,7
79,9
80,2
81,2
82,0
83,4
84,8
85,9
86,3
87,6
88,3
89,1
90,9
91,5
92,8
93,7
94,4
95,3
96,2
97,2
98,8
99,0
100,1
101,9
102,4
103,5
104,8
105,5
106,7
107,2
108,7
109,5
110,0
111,7
112,3
113,0
114,0
115,3
116,4
117,0
118,5
119,4
120,4
121,0
122,8
123,6
124,5
125,9
126,4
127,6
128,5
129,5
130,9
131,5
132,8
133,1
134,0
135,7
136,9
137,0
138,4
139,0
140,5
141,9
142,5
143,2
144,0
145,2
146,1
147,8
148,9
149,4
150,3
151,4
152,0
153,9
154,2
155,4
156,0
157,2
158,3
159,4
160,4
161,1
162,3
163,4
164,0
165,4
166,3
167,8
168,2
169,5
170,9
171,6
172,2
173,8
174,0
175,4
176,6
177,3
178,0
179,9
180,8
181,7
182,4
183,8
184,3
185,2
186,4
187,7
188,5
189,0
190,8
191,5
192,3
193,3
194,8
195,9
196,3
197,6
198,7
199,3
200,0
201,2
202,1
203,2
204,3
205,7
206,3
207,8
208,5
209,5
210,7
211,8
212,4
213,3
214,2
215,3
216,0
217,8
218,9
219,3
220,3
221,4
222,0
223,4
224,9
225,2
226,0
227,8
228,7
229,7
230,9
231,8
232,2
233,9
234,3
235,8
236,5
237,4
238,4
239,8
240,8
241,7
242,9
243,4
244,2
245,4
246,2
247,5
248,6
249,2
250,8
251,8
252,2
253,5
254,6
255,3
256,4
257,0
258,2
259,7
260,5
261,9
262,2
263,2
264,3
265,1
266,7
267,4
268,7
269,0
270,5
271,9
272,5
273,4
274,2
275,5
276,0
277,2
278,9
279,3
280,7
281,0
282,7
283,6
284,4
285,8
286,6
287,2
288,5
289,3
290,4
291,2
292,6
293,3
294,2
295,2
296,4
297,5
298,7
299,4
300,8
301,3
302,6
303,3
304,5
305,5
306,0
307,4
308,2
309,7
310,6
311,5
312,3
313,2
314,0
315,6
316,5
317,3
318,0
319,6
320,2
321,4
322,7
323,8
324,6
325,3
326,5
327,7
328,9
329,6
330,8
331,2
332,0
333,9
334,2
335,2
336,9
337,6
338,2
339,2
340,3
341,8
342,7
343,7
344,8
345,4
346,8
347,5
348,8
349,9
350,3
351,2
352,6
353,4
354,0
355,7
356,6
357,3
358,3
359,0
360,3
361,8
362,7
363,8
364,2
365,5
366,4
367,8
368,0
369,6
370,3
371,3
372,0
373,2
374,2
375,8
376,8
377,6
378,9
379,6
380,5
381,5
382,2
383,8
384,9
385,8
386,7
387,3
388,7
389,0
390,0
391,6
392,3
393,3
394,8
395,0
396,0
397,7
398,3
399,4
400,8
401,6
402,3
403,0
404,0
405,0
406,5
407,4
408,6
409,4
410,4
411,4
412,8
413,4
414,3
415,2
416,7
417,0
418,4
419,5
420,8
421,4
422,2
423,2
424,9
425,7
426,3
427,2
428,3
429,6
430,8
431,5
432,5
433,9
434,5
435,0
436,9
437,2
438,2
439,5
440,2
441,5
442,0
443,2
444,8
445,3
446,5
447,5
448,4
449,2
450,6
451,5
452,3
453,2
454,4
455,5
456,5
457,4
458,0
459,4
460,7
461,2
462,4
463,0
464,2
465,7
466,6
467,8
468,3
469,0
470,7
471,3
472,8
473,2
474,4
475,5
476,9
477,6
478,0
479,1
480,6
481,6
482,7
483,4
484,3
485,3
486,8
487,2
488,4
489,5
490,0
491,2
492,9
493,3
494,3
495,0
496,9
497,9
498,9
499,4
500,7
501,0
502,3
503,8
504,4
505,4
506,0
507,9
508,3
509,7
510,6
511,4
512,4
513,2
514,4
515,6
516,4
517,5
518,2
519,5
520,5
521,1
522,4
523,6
524,6
525,7
526,4
527,7
528,7
529,5
530,7
531,1
532,4
533,3
534,2
535,4
536,8
537,9
538,3
539,6
540,7
541,3
542,2
543,7
544,6
545,9
546,7
547,2
548,9
549,7
550,4
551,4
552,0
553,7
554,1
555,7
556,8
557,4
558,8
559,4
560,3
561,4
562,4
563,0
564,2
565,2
566,8
567,2
568,9
569,2
570,5
571,2
572,2
573,4
574,1
575,8
576,4
577,3
578,3
579,5
580,4
581,9
582,8
583,9
584,3
585,0
586,3
587,9
588,6
589,8
590,6
591,2
592,9
593,2
594,9
595,7
596,8
597,2
598,7
599,7
600,7
601,0
602,6
603,0
604,4
605,5
606,6
607,6
608,0
609,3
610,5
611,3
612,6
613,4
614,9
615,1
616,5
617,8
618,7
619,5
620,4
621,7
622,2
623,3
624,8
625,8
626,6
627,2
628,8
629,5
630,0
631,7
632,3
633,3
634,0
635,2
636,6
637,8
638,7
639,9
640,0
641,3
642,2
643,3
644,0
645,2
646,3
647,3
648,0
649,6
650,3
651,2
652,0
653,7
654,7
655,6
656,3
657,4
658,4
659,1
660,8
661,4
662,3
663,6
664,8
665,4
666,4
667,6
668,6
669,3
670,2
671,3
672,3
673,2
674,4
675,5
676,8
677,3
678,7
679,9
680,3
681,2
682,6
683,0
684,0
685,2
686,3
687,3
688,2
689,2
690,6
691,3
692,3
693,0
694,2
695,8
696,9
697,2
698,6
699,4
700,3
701,5
702,5
703,7
704,3
705,4
706,3
707,8
708,5
709,3
710,2
711,9
712,0
713,2
714,6
715,3
716,3
717,9
718,6
719,3
720,2
721,4
722,0
723,7
724,0
725,3
726,8
727,2
728,3
729,0
730,6
731,9
732,4
733,7
734,5
735,3
736,9
737,7
738,0
739,4
740,3
741,3
742,4
743,2
744,4
745,2
746,8
747,0
748,5
749,8
750,8
751,2
752,8
753,3
754,0
755,0
756,2
757,0
758,4
759,2
760,2
761,4
762,3
763,7
764,8
765,7
766,3
767,4
768,0
769,6
770,5
